"time";"therm";"temperature";"humidity";"pressure"
12:39:04.390;14611;168418;396016;100898
;;;;
12:39:04.581;14707;168469;394097;10090
;;;;
12:39:04.774;14643;168469;393603;100898
;;;;
12:39:04.968;14611;16857;397332;100899
;;;;
12:39:05.143;14563;168469;394043;10090
;;;;
12:39:05.335;14611;168621;396236;100901
;;;;
12:39:05.526;14643;168672;396785;100898
;;;;
12:39:05.702;14563;168773;39503;10090
;;;;
12:39:05.894;14547;168773;393988;100901
;;;;
12:39:06.078;14515;168824;393823;10090
;;;;
12:39:06.279;14579;168773;394372;100902
;;;;
12:39:06.464;14547;168773;395798;100903
;;;;
12:39:06.653;14435;168824;396017;100903
;;;;
12:39:06.841;14547;168824;396127;10090
;;;;
12:39:07.025;14499;168977;396457;100898
;;;;
12:39:07.226;14483;168977;395031;10090
;;;;
12:39:07.417;14467;168977;394921;100897
;;;;
12:39:07.604;14451;168977;394811;100897
;;;;
12:39:07.791;14451;168926;395689;100899
;;;;
12:39:07.977;14467;169078;396895;100895
;;;;
12:39:08.178;14451;169078;395689;10090
;;;;
12:39:08.363;14403;169078;397609;100898
;;;;
12:39:08.563;14371;169078;394428;100899
;;;;
12:39:08.749;14371;169129;393551;10090
;;;;
12:39:08.920;14419;169078;396239;10090
;;;;
12:39:09.107;14323;169129;394593;100898
;;;;
12:39:09.292;14323;16918;397445;100897
;;;;
12:39:09.495;14307;16918;395855;100901
;;;;
12:39:09.683;14323;16918;392893;100896
;;;;
12:39:09.869;14291;169281;394812;10090
;;;;
12:39:10.058;14291;169332;395306;100902
;;;;
12:39:10.242;14275;169281;394977;100899
;;;;
12:39:10.431;14291;169383;397995;100899
;;;;
12:39:10.618;14227;169484;394758;100899
;;;;
12:39:10.805;14227;169434;393332;100899
;;;;
12:39:11.004;14227;169434;39624;10090
;;;;
12:39:11.191;14195;169484;39613;100899
;;;;
12:39:11.377;14179;169535;392619;10090
;;;;
12:39:11.563;14227;169484;395582;100899
;;;;
12:39:11.752;14243;169535;396733;10090
;;;;
12:39:11.936;14179;169586;395253;10090
;;;;
12:39:12.139;14163;169637;396679;10090
;;;;
12:39:12.325;14179;169738;393717;100898
;;;;
12:39:12.509;14163;169688;396405;100898
;;;;
12:39:12.697;14115;169789;39454;100899
;;;;
12:39:12.882;14131;169738;39624;100901
;;;;
12:39:13.083;14115;169789;39624;100899
;;;;
12:39:13.267;14115;169789;392401;100898
;;;;
12:39:13.470;14115;169891;394814;100899
;;;;
12:39:13.656;14083;169789;392895;100898
;;;;
12:39:13.842;14067;169891;397174;100902
;;;;
12:39:14.039;14051;169789;393937;100901
;;;;
12:39:14.228;14083;169941;395858;100901
;;;;
12:39:14.417;14115;169891;393498;100901
;;;;
12:39:14.592;14035;170094;395858;100898
;;;;
12:39:14.782;14067;170145;393608;100901
;;;;
